Account ID,AC,Active?,Preparer Duration
1002_ON-2100-128013-0000-80234-0000-ALL-ALL,128013,Yes,14
1002_ON-2100-211004-0000-80212-0000-ALL-ALL,211004,Yes,14
1002_ON-2100-211006-0000-11901-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211006-0000-12104-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211006-0000-13203-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211006-0000-13406-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211006-0000-14118-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211006-0000-14204-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211006-0000-14306-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211006-0000-14614-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211006-0000-15408-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211006-0000-16040-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211006-0000-80026-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211006-0000-80047-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211006-0000-80053-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211006-0000-80121-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211006-0000-80138-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211006-0000-80154-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211006-0000-80192-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211006-0000-80224-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211006-0000-80344-0000-ALL-ALL,211006,Yes,14
1002_ON-2100-211009-0000-11103-0000-ALL-ALL,211009,Yes,14
1002_ON-2100-211009-0000-11106-0000-ALL-ALL,211009,Yes,14
1002_ON-2100-211009-0000-11205-0000-ALL-ALL,211009,Yes,14
1002_ON-2100-211009-0000-11701-0000-ALL-ALL,211009,Yes,14
1002_ON-2100-211009-0000-11703-0000-ALL-ALL,211009,Yes,14
1002_ON-2100-211009-0000-11804-0000-ALL-ALL,211009,Yes,14
1002_ON-2100-211009-0000-12116-0000-ALL-ALL,211009,Yes,14
1002_ON-2100-211009-0000-12117-0000-ALL-ALL,211009,Yes,14
1002_ON-2100-211009-0000-12311-0000-ALL-ALL,211009,Yes,14
1002_ON-2100-211009-0000-12501-0000-ALL-ALL,211009,Yes,14
1002_ON-2100-211009-0000-12506-0000-ALL-ALL,211009,Yes,14
1002_ON-2100-211009-0000-12613-0000-ALL-ALL,211009,Yes,14
1002_ON-2100-211009-0000-13406-0000-ALL-ALL,211009,Yes,14
